Obs,Cod_Item,Situacao_Item_Pedido,CodGrupoEstoque,Condicao_Pagamento,% Margem F brica Ped
613,3009038016,1,85,63,0.2928
614,3001071101,1,80,75,0.1465
615,3002081118,1,80,75,0.2934
616,3009000170,1,85,75,0.0787
617,3009000270,1,85,75,0.0749
618,3009000370,1,85,75,0.1043
619,3009000470,1,85,75,0.0238
620,3009000570,1,85,75,0.0363
621,3009000670,1,85,75,0.0537
622,3009000770,1,85,75,-0.2759
623,3009000870,1,85,75,-0.5332
624,3009000970,1,85,75,-0.8014
625,3009015071,1,85,75,0.432
626,3009023107,1,85,75,0.2721
627,3209703030,1,85,75,0.2599
628,6065004230,1,86,75,0.2801
629,6080203510,1,86,75,0.4111
630,6080205010,1,86,75,0.409
631,14020030232,1,85,75,0.3577
632,3001052018,1,80,21,-0.0235
633,3001052701,1,80,21,-0.0411
634,3001055005,1,80,21,0.1844
635,3001077717,1,80,21,0.195
636,3001110091,1,80,21,0.0721
637,3003077717,1,80,21,0.1148
638,3005005101,1,80,21,0.1399
639,3009023107,1,85,21,0.1576
640,3009038016,1,85,21,0.2195
641,3209703030,1,85,21,0.1865
642,6080205010,1,86,21,0.3418
643,6080305010,1,86,21,0.3482
644,3205012113,0,80,21,1
645,3205012313,0,80,21,1
646,3001071001,1,80,75,0.1728
647,3001071101,1,80,75,0.1122
648,3009010912,1,85,75,0.2371
649,3009011012,1,85,75,0.2442
650,3009011112,1,85,75,0.2314
651,3009017590,1,85,75,0.4112
652,3009018612,1,85,75,0.3265
653,3009038016,1,85,75,0.2429
654,3201596730,1,80,75,0.2584
655,3201597330,1,80,75,0.3575
656,3209703030,1,85,75,0.2212
657,6003046213,1,86,75,0.4166
658,6003046313,1,86,75,0.4308
659,6003046413,1,86,75,0.4254
660,6065004030,1,86,75,0.2355
661,6065004130,1,86,75,0.2582
662,6065004230,1,86,75,0.2572
663,6065004330,1,86,75,0.2618
664,6080205010,1,86,75,0.3702
665,6080305010,1,86,75,0.3762
666,6164000530,1,81,75,0.3985
667,6165001230,1,81,75,0.1167
668,6165001430,1,81,75,0.1313
669,6502021901,1,86,75,0.5236
670,6702030513,1,81,75,0.4278
671,3005018004,0,80,75,1
672,3005506801,0,80,75,1
673,3211591134,0,80,75,1
674,3001070615,1,80,56,0.2331
675,3001071101,1,80,56,-0.0287
676,3001071515,1,80,56,0.2053
677,3001075015,1,80,56,0.2261
678,3001075715,1,80,56,0.2287
679,3001078715,1,80,56,0.2907
680,3001079515,1,80,56,0.2322
681,3002081118,1,80,56,0.1943
682,3003081118,1,80,56,0.1862
683,3005030901,1,80,56,0.232
684,3009015071,1,85,56,0.3743
685,3009023107,1,85,56,0.1577
686,3001071517,0,80,56,1
687,3009034401,1,80,21,0.1672
688,3009034501,1,80,21,0.2195
689,3003079515,1,80,84,0.4173
690,3011073134,1,80,84,0.3853
691,3011073234,1,80,84,0.4054
692,3141046015,1,80,84,0.4067
693,3909001501,1,80,84,0.3848
694,3909011012,1,80,84,0.3671
695,5030000301,1,80,84,0.4345
696,6965004130,1,81,84,0.2941
697,3909018612,0,80,84,1
698,3001071157,1,80,63,0.1797
699,3002081157,1,80,63,0.209
700,3003081157,1,80,63,0.1936
701,3009023507,1,85,63,0.2457
702,3009038016,1,85,63,0.3731
703,6177001390,1,86,63,0.3648
704,6177001290,0,86,63,1
705,3001052018,1,80,60,0.2121
706,3001055018,1,80,60,0.2933
707,3001071101,1,80,60,0.1097
708,3001071157,1,80,60,0.0305
